Year,Fossil fuel combustion: carbon dioxide,Use of fluorinated gases,Fossil fuel combustion: other greenhouse gases,Other transportation categories,Total
1990,1469.1155283482,0,45.6685907986,11.838675258,1526.6227944048
1991,1422.4977106949,0,47.4004273986,10.5909057919,1480.4890438854
1992,1477.7827457219,1.1689821,50.2848956504,10.7978808133,1540.0345042856
1993,1508.742534554,5.09734604,52.1998848738,10.9950351155,1577.0348005833000
1994,1554.0699121139,12.40641769,54.0084376608,11.4919904155,1631.9767578802000
1995,1580.7956334259,19.613488932,55.4427310665,11.294701583,1667.1465550074000
1996,1627.474655028,28.373833104,56.5607196553,10.9613352501,1723.3705430374
1997,1643.6180154758,37.426521065,57.3374900096,11.579435176,1749.9614617264
1998,1679.0240132489,43.762914127,57.5032868762,12.1219962818,1792.4122105339
1999,1746.445065023,50.195083829,54.5119997766,12.2487911844,1863.4009398130000
2000,1792.3011469745,56.180975285,53.1096270603,12.0650899223,1913.6568392421
2001,1762.5722327222,62.0117256775,49.9139557441,11.054295757,1885.5522099008000
2002,1803.1179426544,64.48480932,47.5639570542,10.923330412,1926.0900394406
2003,1812.0820224015,66.1987384465,45.0542212665,10.0987935863,1933.4337757008
2004,1845.3236456334,68.165038572,42.2430460115,10.2311715006,1965.9629017175
2005,1858.6477035528,69.268510764,37.4941704973,10.1776956663,1975.5880804804
2006,1859.215551422,70.3162564665,36.4692057238,9.9158322414,1975.9168458537000
2007,1860.8223045404,71.1820539695,32.1589632977,10.2398487114,1974.403170519
2008,1759.7611833772,71.8629133105,29.7016752662,9.5065907626,1870.8323627165
2009,1688.556494779,71.0649747815,28.03027632,8.5470526799,1796.1987985604
2010,1696.851475923,68.062051936,26.8304438393,10.4108368506,1802.1548085489000
2011,1671.2046458826,62.4338239075,25.4445164515,9.9802723033,1769.0632585449
2012,1660.3519321191,57.124681929,22.839938429,9.1082462463,1749.4247987234
2013,1669.8184609658,51.5834115455,20.8657474834,9.6432063845,1751.9108263792
2014,1708.2104498124,48.7538765015,18.9090973544,10.0467975865,1785.9202212548000
2015,1719.2303233126,46.3364928055,17.536192598,10.9514472657,1794.0544559818
2016,1759.8661323231,43.298741504,16.4208609481,10.3830563229,1829.9687910981
2017,1782.4411009176,40.1397149325,15.1977314144,9.5506494688,1847.3291967333
2018,1816.5633784167,38.4607436255,13.9576319871,9.217283136,1878.1990371653000
2019,1817.2089527354,36.7426909905,12.8937499078,8.885194842,1875.7305884757